csd,borough,school_code,school_name,grade_,program_type,core_subject_(ms_core_and_9_12_only),core_course_(ms_core_and_9_12_only),service_category(k_9*_only),number_of_students_/_seats_filled,number_of_sections,average_class_size,size_of_smallest_class,size_of_largest_class,data_source,schoolwide_pupil_teacher_ratio
1,M,M019,P.S. 019 Asher Levy,05,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,Unknown
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:1,7.0,1.0,7.0,7.0,7.0,ATS,Unknown
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:1:1,11.0,1.0,11.0,11.0,11.0,ATS,Unknown
1,M,M019,P.S. 019 Asher Levy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.0
1,M,M020,P.S. 020 Anna Silver,0K,GEN ED,-,-,-,89.0,4.0,22.3,20.0,23.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,0K,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,01,GEN ED,-,-,-,69.0,3.0,23.0,22.0,24.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,01,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,02,GEN ED,-,-,-,55.0,3.0,18.3,16.0,21.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,02,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,03,GEN ED,-,-,-,57.0,3.0,19.0,17.0,20.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,03,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,04,GEN ED,-,-,-,70.0,3.0,23.3,23.0,24.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,04,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,05,GEN ED,-,-,-,57.0,2.0,28.5,28.0,29.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,05,CTT,-,-,-,29.0,1.0,29.0,29.0,29.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,0K-09,SPEC ED,-,-,12:1:1,34.0,3.0,11.3,11.0,12.0,ATS,Unknown
1,M,M020,P.S. 020 Anna Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,13.4
1,M,M034,P.S. 034 Franklin D. Roosevelt,0K,GEN ED,-,-,-,26.0,2.0,13.0,12.0,14.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,0K,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,01,GEN ED,-,-,-,16.0,1.0,16.0,16.0,16.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,01,CTT,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,02,GEN ED,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,02,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,03,GEN ED,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,03,CTT,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,04,GEN ED,-,-,-,18.0,1.0,18.0,18.0,18.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,04,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,05,GEN ED,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,05,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,06,GEN ED,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,06,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,07,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,07,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,08,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,08,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,0K-09,SPEC ED,-,-,12:1,20.0,2.0,10.0,8.0,12.0,ATS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,ENGLISH,MS English Core,-,76.0,3.0,25.3,25.0,26.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,MATH,MS Math Core,-,76.0,3.0,25.3,25.0,26.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,SCIENCE,MS Science Core,-,76.0,3.0,25.3,25.0,26.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,76.0,3.0,25.3,25.0,26.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,ENGLISH,MS English Core,-,77.0,3.0,25.7,22.0,28.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,MATH,MS Math Core,-,77.0,3.0,25.7,22.0,28.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,SCIENCE,MS Science Core,-,77.0,3.0,25.7,22.0,28.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,77.0,3.0,25.7,22.0,28.0,STARS,Unknown
1,M,M034,P.S. 034 Franklin D. Roosevelt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9.6
1,M,M063,P.S. 063 William McKinley,0K,GEN ED,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,0K,CTT,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,01,CTT,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,02,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,03,GEN ED,-,-,-,10.0,1.0,10.0,10.0,10.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,03,CTT,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,04,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,05,GEN ED,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,05,CTT,-,-,-,18.0,1.0,18.0,18.0,18.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,0K-09,SPEC ED,-,-,12:1:1,7.0,1.0,7.0,7.0,7.0,ATS,Unknown
1,M,M063,P.S. 063 William McKinley,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.6
1,M,M064,P.S. 064 Robert Simon,0K,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,01,GEN ED,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,01,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,02,GEN ED,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,02,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,03,GEN ED,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,03,CTT,-,-,-,16.0,1.0,16.0,16.0,16.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,04,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,04,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,05,CTT,-,-,-,51.0,2.0,25.5,25.0,26.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,0K-09,SPEC ED,-,-,12:1,19.0,2.0,9.5,9.0,10.0,ATS,Unknown
1,M,M064,P.S. 064 Robert Simon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9.7
1,M,M110,P.S. 110 Florence Nightingale,0K,GEN ED,-,-,-,45.0,2.0,22.5,20.0,25.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,0K,CTT,-,-,-,28.0,1.0,28.0,28.0,28.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,01,GEN ED,-,-,-,45.0,2.0,22.5,22.0,23.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,01,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,02,GEN ED,-,-,-,39.0,2.0,19.5,14.0,25.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,02,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,03,GEN ED,-,-,-,52.0,2.0,26.0,23.0,29.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,03,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,04,GEN ED,-,-,-,46.0,2.0,23.0,23.0,23.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,04,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,05,GEN ED,-,-,-,28.0,1.0,28.0,28.0,28.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,05,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,0K-09,SPEC ED,-,-,12:1:1,10.0,1.0,10.0,10.0,10.0,ATS,Unknown
1,M,M110,P.S. 110 Florence Nightingale,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12.5
1,M,M134,P.S. 134 Henrietta Szold,0K,GEN ED,-,-,-,55.0,3.0,18.3,17.0,19.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,01,GEN ED,-,-,-,54.0,3.0,18.0,14.0,21.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,02,GEN ED,-,-,-,39.0,2.0,19.5,19.0,20.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,02,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,03,GEN ED,-,-,-,54.0,3.0,18.0,15.0,22.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,04,GEN ED,-,-,-,39.0,2.0,19.5,19.0,20.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,05,GEN ED,-,-,-,55.0,2.0,27.5,25.0,30.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,0K-09,SPEC ED,-,-,12:1,27.0,3.0,9.0,7.0,12.0,ATS,Unknown
1,M,M134,P.S. 134 Henrietta Szold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.6
1,M,M137,P.S. 137 John L. Bernstein,0K,GEN ED,-,-,-,43.0,2.0,21.5,20.0,23.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,01,GEN ED,-,-,-,35.0,2.0,17.5,14.0,21.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,02,GEN ED,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,03,GEN ED,-,-,-,33.0,2.0,16.5,15.0,18.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,04,GEN ED,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,04,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,05,GEN ED,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,0K-09,SPEC ED,-,-,12:1:1,29.0,3.0,9.7,8.0,11.0,ATS,Unknown
1,M,M137,P.S. 137 John L. Bernstein,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.9
1,M,M140,P.S. 140 Nathan Straus,0K,GEN ED,-,-,-,34.0,2.0,17.0,17.0,17.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,01,GEN ED,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,02,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,03,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,04,GEN ED,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,04,CTT,-,-,-,13.0,1.0,13.0,13.0,13.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,05,GEN ED,-,-,-,31.0,1.0,31.0,31.0,31.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,06,GEN ED,-,-,-,32.0,1.0,32.0,32.0,32.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,06,CTT,-,-,-,30.0,1.0,30.0,30.0,30.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,07,GEN ED,-,-,-,55.0,2.0,27.5,27.0,28.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,08,GEN ED,-,-,-,59.0,2.0,29.5,29.0,30.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,0K-09,SPEC ED,-,-,12:1,6.0,1.0,6.0,6.0,6.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,0K-09,SPEC ED,-,-,12:1:1,22.0,3.0,7.3,6.0,8.0,ATS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,ENGLISH,MS English Core,-,145.0,5.0,29.0,27.0,32.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,MATH,MS Math Core,-,145.0,5.0,29.0,27.0,32.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,SCIENCE,MS Science Core,-,145.0,5.0,29.0,27.0,32.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,86.0,3.0,28.7,27.0,32.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,59.0,2.0,29.5,28.0,31.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,CTT,ENGLISH,MS English Core,-,30.0,1.0,30.0,30.0,30.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,CTT,MATH,MS Math Core,-,30.0,1.0,30.0,30.0,30.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,CTT,SCIENCE,MS Science Core,-,30.0,1.0,30.0,30.0,30.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,30.0,1.0,30.0,30.0,30.0,STARS,Unknown
1,M,M140,P.S. 140 Nathan Straus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.9
1,M,M142,P.S. 142 Amalia Castro,0K,GEN ED,-,-,-,42.0,2.0,21.0,19.0,23.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,0K,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,01,GEN ED,-,-,-,46.0,2.0,23.0,22.0,24.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,01,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,02,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,02,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,03,GEN ED,-,-,-,41.0,2.0,20.5,20.0,21.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,03,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,04,GEN ED,-,-,-,45.0,2.0,22.5,22.0,23.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,04,CTT,-,-,-,18.0,1.0,18.0,18.0,18.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,05,GEN ED,-,-,-,45.0,2.0,22.5,22.0,23.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,05,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,0K-09,SPEC ED,-,-,12:1,20.0,2.0,10.0,9.0,11.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,0K-09,SPEC ED,-,-,12:1:1,12.0,1.0,12.0,12.0,12.0,ATS,Unknown
1,M,M142,P.S. 142 Amalia Castro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12.3
1,M,M184,P.S. 184m Shuang Wen,0K,GEN ED,-,-,-,77.0,3.0,25.7,25.0,26.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,0K,CTT,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,01,GEN ED,-,-,-,74.0,3.0,24.7,24.0,25.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,01,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,02,GEN ED,-,-,-,74.0,3.0,24.7,24.0,25.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,03,GEN ED,-,-,-,66.0,3.0,22.0,22.0,22.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,04,GEN ED,-,-,-,73.0,3.0,24.3,24.0,25.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,05,GEN ED,-,-,-,68.0,2.0,34.0,34.0,34.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,06,GEN ED,-,-,-,57.0,2.0,28.5,28.0,29.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,07,GEN ED,-,-,-,53.0,2.0,26.5,26.0,27.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,08,GEN ED,-,-,-,54.0,2.0,27.0,26.0,28.0,ATS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,ENGLISH,MS English Core,-,164.0,6.0,27.3,26.0,29.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,MATH,MS Math Core,-,121.0,5.0,24.2,11.0,29.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,MATH,Integrated Algebra,-,36.0,2.0,18.0,15.0,21.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,SCIENCE,MS Science Core,-,137.0,5.0,27.4,26.0,29.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,SCIENCE,Living Environment,-,27.0,1.0,27.0,27.0,27.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,138.0,5.0,27.6,26.0,29.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,MS Core,GEN ED,SOCIAL STUDIES,Participation in Government,-,26.0,1.0,26.0,26.0,26.0,STARS,Unknown
1,M,M184,P.S. 184m Shuang Wen,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15.5
1,M,M188,P.S. 188 The Island School,0K,GEN ED,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,01,GEN ED,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,02,GEN ED,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,03,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,04,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,05,GEN ED,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,05,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,06,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,06,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,07,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,07,CTT,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,08,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,08,CTT,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,0K-09,SPEC ED,-,-,12:1:1,11.0,1.0,11.0,11.0,11.0,ATS,Unknown
1,M,M188,P.S. 188 The Island School,MS Core,GEN ED,ENGLISH,MS English Core,-,67.0,3.0,22.3,21.0,24.0,STARS,Unknown
1,M,M188,P.S. 188 The Island School,MS Core,GEN ED,MATH,MS Math Core,-,67.0,3.0,22.3,21.0,24.0,STARS,Unknown
1,M,M188,P.S. 188 The Island School,MS Core,GEN ED,SCIENCE,MS Science Core,-,67.0,3.0,22.3,21.0,24.0,STARS,Unknown
1,M,M361,The Children's Workshop School,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.5
1,M,M188,P.S. 188 The Island School,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,67.0,3.0,22.3,21.0,24.0,STARS,Unknown
1,M,M188,P.S. 188 The Island School,MS Core,CTT,ENGLISH,MS English Core,-,71.0,3.0,23.7,21.0,26.0,STARS,Unknown
1,M,M188,P.S. 188 The Island School,MS Core,CTT,MATH,MS Math Core,-,71.0,3.0,23.7,21.0,26.0,STARS,Unknown
